Ocean_layer,Scenario,Protection
Epipelagic,ssp126,23.9
Epipelagic,ssp245,28.4
Epipelagic,ssp585,28.9
Mesopelagic,ssp126,29.4
Mesopelagic,ssp245,29.2
Mesopelagic,ssp585,29.7
BathyAbyssopelagic,ssp126,25.3
BathyAbyssopelagic,ssp245,24.7
BathyAbyssopelagic,ssp585,24.4
Seafloor,ssp126,20.4
Seafloor,ssp245,20.5
Seafloor,ssp585,20.5
