Ocean_layer,Protection
NoRegret_Epipelagic,22.2
NoRegret_Mesopelagic,31.8
NoRegret_BathyAbyssopelagic,27.5
NoRegret_Seafloor,24.4
NoRegretPelagic_NA,4.8
NoRegret_PelagicSeafloor,1.8
