Ocean_layer,Protection
NoRegret_Epipelagic,10.6
NoRegret_Mesopelagic,16.3
NoRegret_BathyAbyssopelagic,14.5
NoRegret_Seafloor,13.6
NoRegretPelagic_NA,1.3
NoRegret_PelagicSeafloor,0.4
