Ocean_layer,Protection
NoRegret_Epipelagic,27.8
NoRegret_Mesopelagic,38.6
NoRegret_BathyAbyssopelagic,32.9
NoRegret_Seafloor,28.6
NoRegretPelagic_NA,7.3
NoRegret_PelagicSeafloor,3.2
