Ocean_layer,Protection
NoRegret_Epipelagic,7.8
NoRegret_Mesopelagic,12.1
NoRegret_BathyAbyssopelagic,10.9
NoRegret_Seafloor,10.5
NoRegretPelagic_NA,0.8
NoRegret_PelagicSeafloor,0.2
