Ocean_layer,Protection
NoRegret_Epipelagic,5.5
NoRegret_Mesopelagic,8.4
NoRegret_BathyAbyssopelagic,7.8
NoRegret_Seafloor,7.7
NoRegretPelagic_NA,0.5
NoRegret_PelagicSeafloor,0.1
