Ocean_layer,Protection
NoRegret_Epipelagic,35.7
NoRegret_Mesopelagic,47.5
NoRegret_BathyAbyssopelagic,39.3
NoRegret_Seafloor,33.7
NoRegret_Pelagic,11.7
NoRegret_PelagicSeafloor,5.9
