Ocean_layer,Protection
NoRegret_Epipelagic,17.7
NoRegret_Mesopelagic,25.9
NoRegret_BathyAbyssopelagic,22.7
NoRegret_Seafloor,20.5
NoRegretPelagic_NA,3.1
NoRegret_PelagicSeafloor,1.1
