"","Epipelagic_ssp126","Epipelagic_ssp245","Epipelagic_ssp585","Mesopelagic_ssp126","Mesopelagic_ssp245","Mesopelagic_ssp585","BathyAbyssopelagic_ssp126","BathyAbyssopelagic_ssp245","BathyAbyssopelagic_ssp585","Seafloor_ssp126","Seafloor_ssp245","Seafloor_ssp585"
"Epipelagic_ssp126",1,0.450911810488051,0.420536686694758,0.322564229647331,0.319929388374602,0.311297077976723,0.17771764427977,0.178953535926818,0.182001237137837,0.161994661907972,0.159395259691824,0.161149722393956
"Epipelagic_ssp245",0.450911810488051,1,0.639303433183155,0.342447036118002,0.370689997999948,0.35425730858149,0.181727989691106,0.180410715702277,0.185076124040538,0.156594518643679,0.156418726278628,0.155043443771924
"Epipelagic_ssp585",0.420536686694758,0.639303433183155,1,0.339926389964121,0.356234691746346,0.363646450147483,0.182025535580183,0.18991753266307,0.189589884512536,0.156119656164507,0.153436216248753,0.156793173540468
"Mesopelagic_ssp126",0.322564229647331,0.342447036118002,0.339926389964121,1,0.616040143592241,0.577210799059091,0.204627912727197,0.210614009608358,0.208168095879676,0.166383104642406,0.162558976311668,0.167608800159233
"Mesopelagic_ssp245",0.319929388374602,0.370689997999948,0.356234691746346,0.616040143592241,1,0.703289757820114,0.207621316955614,0.226112750975394,0.220624408448497,0.174912337959843,0.170021629597841,0.173414833806671
"Mesopelagic_ssp585",0.311297077976723,0.35425730858149,0.363646450147483,0.577210799059091,0.703289757820114,1,0.211865905630912,0.23027805824396,0.233817835027152,0.169894075841474,0.164112876727435,0.17148095044863
"BathyAbyssopelagic_ssp126",0.17771764427977,0.181727989691106,0.182025535580183,0.204627912727197,0.207621316955614,0.211865905630912,1,0.680135789993612,0.655384463345443,0.192000520287113,0.193820795211235,0.19217140860127
"BathyAbyssopelagic_ssp245",0.178953535926818,0.180410715702277,0.18991753266307,0.210614009608358,0.226112750975394,0.23027805824396,0.680135789993612,1,0.725412395308176,0.198750244401191,0.195935590280214,0.197709030982006
"BathyAbyssopelagic_ssp585",0.182001237137837,0.185076124040538,0.189589884512536,0.208168095879676,0.220624408448497,0.233817835027152,0.655384463345443,0.725412395308176,1,0.201935387530813,0.206081202823463,0.205207359053544
"Seafloor_ssp126",0.161994661907972,0.156594518643679,0.156119656164507,0.166383104642406,0.174912337959843,0.169894075841474,0.192000520287113,0.198750244401191,0.201935387530813,1,0.78777735951258,0.773319343611036
"Seafloor_ssp245",0.159395259691824,0.156418726278628,0.153436216248753,0.162558976311668,0.170021629597841,0.164112876727435,0.193820795211235,0.195935590280214,0.206081202823463,0.78777735951258,1,0.796039608311925
"Seafloor_ssp585",0.161149722393956,0.155043443771924,0.156793173540468,0.167608800159233,0.173414833806671,0.17148095044863,0.19217140860127,0.197709030982006,0.205207359053544,0.773319343611036,0.796039608311925,1
