"","Epipelagic_ssp126","Epipelagic_ssp245","Epipelagic_ssp585","Mesopelagic_ssp126","Mesopelagic_ssp245","Mesopelagic_ssp585","BathyAbyssopelagic_ssp126","BathyAbyssopelagic_ssp245","BathyAbyssopelagic_ssp585","Seafloor_ssp126","Seafloor_ssp245","Seafloor_ssp585"
"Epipelagic_ssp126",1,0.370718328358773,0.319470008636321,0.23475401530316,0.219602565915648,0.202053439587074,0.0665855805058922,0.0600913200908362,0.0583295586440661,0.0374274927146896,0.0405333105527497,0.0390782387132508
"Epipelagic_ssp245",0.370718328358773,1,0.642024883987997,0.228068811527138,0.251754795995911,0.222855983758386,0.0914277857950716,0.087126676130781,0.0874035645038304,0.0517446489079145,0.0490969000343301,0.0457611060243851
"Epipelagic_ssp585",0.319470008636321,0.642024883987997,1,0.204818778584422,0.224612574960317,0.228955824864036,0.118157628609714,0.119583772669523,0.110819038550158,0.0613323367531051,0.0569605017290975,0.060102627093281
"Mesopelagic_ssp126",0.23475401530316,0.228068811527138,0.204818778584422,1,0.629911748438394,0.585632568182384,0.178483625252098,0.172954452500039,0.184190892232113,0.0998975777771083,0.102206935195595,0.101474115147379
"Mesopelagic_ssp245",0.219602565915648,0.251754795995911,0.224612574960317,0.629911748438394,1,0.726205705534283,0.180943832535602,0.195615979877208,0.199964984277965,0.103977490638672,0.104764246289991,0.106439122708771
"Mesopelagic_ssp585",0.202053439587074,0.222855983758386,0.228955824864036,0.585632568182384,0.726205705534283,1,0.18447438952585,0.199361671977038,0.212834799633421,0.119489275231054,0.115498837486013,0.123533099849638
"BathyAbyssopelagic_ssp126",0.0665855805058922,0.0914277857950716,0.118157628609714,0.178483625252098,0.180943832535602,0.18447438952585,1,0.706622446191613,0.660789373000068,0.205078692566306,0.209258338244515,0.221763446780537
"BathyAbyssopelagic_ssp245",0.0600913200908362,0.087126676130781,0.119583772669523,0.172954452500039,0.195615979877208,0.199361671977038,0.706622446191613,1,0.744730075933199,0.233048295361619,0.235684389251269,0.251924878674169
"BathyAbyssopelagic_ssp585",0.0583295586440661,0.0874035645038304,0.110819038550158,0.184190892232113,0.199964984277965,0.212834799633421,0.660789373000068,0.744730075933199,1,0.260468501879422,0.264718936505936,0.277565285495384
"Seafloor_ssp126",0.0374274927146896,0.0517446489079145,0.0613323367531051,0.0998975777771083,0.103977490638672,0.119489275231054,0.205078692566306,0.233048295361619,0.260468501879422,1,0.814251171937895,0.800520730481718
"Seafloor_ssp245",0.0405333105527497,0.0490969000343301,0.0569605017290975,0.102206935195595,0.104764246289991,0.115498837486013,0.209258338244515,0.235684389251269,0.264718936505936,0.814251171937895,1,0.816031317160698
"Seafloor_ssp585",0.0390782387132508,0.0457611060243851,0.060102627093281,0.101474115147379,0.106439122708771,0.123533099849638,0.221763446780537,0.251924878674169,0.277565285495384,0.800520730481718,0.816031317160698,1
