"","Epipelagic_ssp126","Epipelagic_ssp245","Epipelagic_ssp585","Mesopelagic_ssp126","Mesopelagic_ssp245","Mesopelagic_ssp585","BathyAbyssopelagic_ssp126","BathyAbyssopelagic_ssp245","BathyAbyssopelagic_ssp585","Seafloor_ssp126","Seafloor_ssp245","Seafloor_ssp585"
"Epipelagic_ssp126",1,0.387154031660534,0.346678440873736,0.256812796117685,0.239108269792112,0.227063668294982,0.0909409221582428,0.0898738353798702,0.0893191412738127,0.0552355310205848,0.0590112605392478,0.0571548170022004
"Epipelagic_ssp245",0.387154031660534,1,0.627885465202024,0.262543079310358,0.286565023373088,0.266266953693329,0.103607751006497,0.102983007011128,0.109380653345283,0.0644463399984942,0.0643918914134534,0.0600068576354493
"Epipelagic_ssp585",0.346678440873736,0.627885465202024,1,0.253440536053253,0.266781951882501,0.277447392161191,0.126355284665304,0.13091790413837,0.129452126760256,0.0698259055908438,0.0670124325814901,0.0693399506673139
"Mesopelagic_ssp126",0.256812796117685,0.262543079310358,0.253440536053253,1,0.627490965065364,0.582572747657288,0.166422916663833,0.164697930837482,0.167497110446009,0.0988878829728875,0.0996832897350422,0.0984460542385456
"Mesopelagic_ssp245",0.239108269792112,0.286565023373088,0.266781951882501,0.627490965065364,1,0.719911690508503,0.166257294170812,0.173809390312386,0.180135083551893,0.10367148629519,0.104026693964364,0.102383399913289
"Mesopelagic_ssp585",0.227063668294982,0.266266953693329,0.277447392161191,0.582572747657288,0.719911690508503,1,0.170011473031718,0.180329220799231,0.191676896280921,0.115683679629298,0.11232666102695,0.121652892987285
"BathyAbyssopelagic_ssp126",0.0909409221582428,0.103607751006497,0.126355284665304,0.166422916663833,0.166257294170812,0.170011473031718,1,0.701891288987834,0.655035546438246,0.170646191140188,0.176228664265319,0.186983035826256
"BathyAbyssopelagic_ssp245",0.0898738353798702,0.102983007011128,0.13091790413837,0.164697930837482,0.173809390312386,0.180329220799231,0.701891288987834,1,0.736924921745528,0.194733755121456,0.199870378361866,0.210592155037159
"BathyAbyssopelagic_ssp585",0.0893191412738127,0.109380653345283,0.129452126760256,0.167497110446009,0.180135083551893,0.191676896280921,0.655035546438246,0.736924921745528,1,0.213350599597825,0.216488427800485,0.225134177421627
"Seafloor_ssp126",0.0552355310205848,0.0644463399984942,0.0698259055908438,0.0988878829728875,0.10367148629519,0.115683679629298,0.170646191140188,0.194733755121456,0.213350599597825,1,0.801225491903106,0.789008322548668
"Seafloor_ssp245",0.0590112605392478,0.0643918914134534,0.0670124325814901,0.0996832897350422,0.104026693964364,0.11232666102695,0.176228664265319,0.199870378361866,0.216488427800485,0.801225491903106,1,0.808045257556521
"Seafloor_ssp585",0.0571548170022004,0.0600068576354493,0.0693399506673139,0.0984460542385456,0.102383399913289,0.121652892987285,0.186983035826256,0.210592155037159,0.225134177421627,0.789008322548668,0.808045257556521,1
