"","Epipelagic_ssp126","Epipelagic_ssp245","Epipelagic_ssp585","Mesopelagic_ssp126","Mesopelagic_ssp245","Mesopelagic_ssp585","BathyAbyssopelagic_ssp126","BathyAbyssopelagic_ssp245","BathyAbyssopelagic_ssp585","Seafloor_ssp126","Seafloor_ssp245","Seafloor_ssp585"
"Epipelagic_ssp126",1,0.380136005477368,0.332328347922228,0.243997180150696,0.226610162457122,0.210584657987977,0.0782654020866722,0.0785789891956846,0.074358895083692,0.0420860215462995,0.0435678308955909,0.0458348892207904
"Epipelagic_ssp245",0.380136005477368,1,0.632816771888035,0.24837416874016,0.268209091907473,0.244209158956068,0.0932780779932284,0.0945879215945188,0.0998722015711007,0.0561416455649986,0.051016704937174,0.0502588170702825
"Epipelagic_ssp585",0.332328347922228,0.632816771888035,1,0.234455208339814,0.24830408736166,0.258729654490877,0.119658977351923,0.12859591758447,0.124969868012475,0.0645729807257753,0.0582251866259444,0.0635844000780441
"Mesopelagic_ssp126",0.243997180150696,0.24837416874016,0.234455208339814,1,0.627605963194218,0.584846989468468,0.174424465718547,0.17127822512091,0.182066081833183,0.0967018929611064,0.0966395532412583,0.0976749983699257
"Mesopelagic_ssp245",0.226610162457122,0.268209091907473,0.24830408736166,0.627605963194218,1,0.721837597614539,0.171278539654651,0.182043396974766,0.191708978080822,0.103218792658033,0.100454219367675,0.103419072966708
"Mesopelagic_ssp585",0.210584657987977,0.244209158956068,0.258729654490877,0.584846989468468,0.721837597614539,1,0.17383465155253,0.187719751675059,0.205360800142975,0.115625202387916,0.110165326606418,0.123472226768271
"BathyAbyssopelagic_ssp126",0.0782654020866722,0.0932780779932284,0.119658977351923,0.174424465718547,0.171278539654651,0.17383465155253,1,0.704399931518118,0.653962002382191,0.18142079957137,0.186622819936032,0.198010618245824
"BathyAbyssopelagic_ssp245",0.0785789891956846,0.0945879215945188,0.12859591758447,0.17127822512091,0.182043396974766,0.187719751675059,0.704399931518118,1,0.737452819403613,0.207251827327292,0.21120138100726,0.22472032192954
"BathyAbyssopelagic_ssp585",0.074358895083692,0.0998722015711007,0.124969868012475,0.182066081833183,0.191708978080822,0.205360800142975,0.653962002382191,0.737452819403613,1,0.231628277916201,0.235103054154915,0.246827163312817
"Seafloor_ssp126",0.0420860215462995,0.0561416455649986,0.0645729807257753,0.0967018929611064,0.103218792658033,0.115625202387916,0.18142079957137,0.207251827327292,0.231628277916201,1,0.806675080793391,0.794695284353604
"Seafloor_ssp245",0.0435678308955909,0.051016704937174,0.0582251866259444,0.0966395532412583,0.100454219367675,0.110165326606418,0.186622819936032,0.21120138100726,0.235103054154915,0.806675080793391,1,0.813097536501663
"Seafloor_ssp585",0.0458348892207904,0.0502588170702825,0.0635844000780441,0.0976749983699257,0.103419072966708,0.123472226768271,0.198010618245824,0.22472032192954,0.246827163312817,0.794695284353604,0.813097536501663,1
