"","Epipelagic_ssp126","Epipelagic_ssp245","Epipelagic_ssp585","Mesopelagic_ssp126","Mesopelagic_ssp245","Mesopelagic_ssp585","BathyAbyssopelagic_ssp126","BathyAbyssopelagic_ssp245","BathyAbyssopelagic_ssp585","Seafloor_ssp126","Seafloor_ssp245","Seafloor_ssp585"
"Epipelagic_ssp126",1,0.40812849217552,0.379834566256317,0.280884481816644,0.273143563502502,0.264168637214699,0.119438793885669,0.121213740930877,0.117200390518185,0.0904835705535764,0.0923527849705604,0.0915039948965414
"Epipelagic_ssp245",0.40812849217552,1,0.626211714459311,0.294758970933067,0.32083817980537,0.305412373312706,0.127970397617036,0.126360523224038,0.129989543606945,0.0959327144523783,0.0903760415256857,0.0937055439679612
"Epipelagic_ssp585",0.379834566256317,0.626211714459311,1,0.292578037845738,0.3100162921268,0.318269058014019,0.13951013632163,0.14630722925715,0.145050873072585,0.0919415416690304,0.0892794914542078,0.0936137411108917
"Mesopelagic_ssp126",0.280884481816644,0.294758970933067,0.292578037845738,1,0.624788528470622,0.58130746785625,0.168079670317978,0.167740308350794,0.173544359541137,0.11569126423866,0.112034851583833,0.118353840926963
"Mesopelagic_ssp245",0.273143563502502,0.32083817980537,0.3100162921268,0.624788528470622,1,0.712299173935091,0.171973813659809,0.183581372579774,0.184700089684678,0.124956923217456,0.121540207833403,0.123586110716088
"Mesopelagic_ssp585",0.264168637214699,0.305412373312706,0.318269058014019,0.58130746785625,0.712299173935091,1,0.178231015442888,0.190427144861787,0.197037165247745,0.126719218426311,0.120627929559074,0.131703566032981
"BathyAbyssopelagic_ssp126",0.119438793885669,0.127970397617036,0.13951013632163,0.168079670317978,0.171973813659809,0.178231015442888,1,0.69076535486757,0.65647938247601,0.167555131224358,0.16745983897034,0.172658559622371
"BathyAbyssopelagic_ssp245",0.121213740930877,0.126360523224038,0.14630722925715,0.167740308350794,0.183581372579774,0.190427144861787,0.69076535486757,1,0.727361200324558,0.180926037953084,0.179789962814141,0.187932679549216
"BathyAbyssopelagic_ssp585",0.117200390518185,0.129989543606945,0.145050873072585,0.173544359541137,0.184700089684678,0.197037165247745,0.65647938247601,0.727361200324558,1,0.194616519904102,0.192072781557998,0.196639771165593
"Seafloor_ssp126",0.0904835705535764,0.0959327144523783,0.0919415416690304,0.11569126423866,0.124956923217456,0.126719218426311,0.167555131224358,0.180926037953084,0.194616519904102,1,0.790701912168654,0.782142053576458
"Seafloor_ssp245",0.0923527849705604,0.0903760415256857,0.0892794914542078,0.112034851583833,0.121540207833403,0.120627929559074,0.16745983897034,0.179789962814141,0.192072781557998,0.790701912168654,1,0.79749176325494
"Seafloor_ssp585",0.0915039948965414,0.0937055439679612,0.0936137411108917,0.118353840926963,0.123586110716088,0.131703566032981,0.172658559622371,0.187932679549216,0.196639771165593,0.782142053576458,0.79749176325494,1
