"","Epipelagic_ssp126","Epipelagic_ssp245","Epipelagic_ssp585","Mesopelagic_ssp126","Mesopelagic_ssp245","Mesopelagic_ssp585","BathyAbyssopelagic_ssp126","BathyAbyssopelagic_ssp245","BathyAbyssopelagic_ssp585","Seafloor_ssp126","Seafloor_ssp245","Seafloor_ssp585"
"Epipelagic_ssp126",1,0.395320037810456,0.364080465164279,0.267966375860138,0.253904339857967,0.244389914599327,0.102602946935339,0.104262884008619,0.100869768021821,0.071594358896672,0.0735851954998976,0.0735582782828773
"Epipelagic_ssp245",0.395320037810456,1,0.625865793230221,0.279644262603496,0.305160148991499,0.282653357459385,0.116774450086737,0.111527487883615,0.119496454135154,0.079214349073369,0.0732018250970672,0.0756678206880414
"Epipelagic_ssp585",0.364080465164279,0.625865793230221,1,0.270358071270412,0.285319856859942,0.295479565220743,0.134596541869958,0.136464737148685,0.138769726593401,0.0786549998231553,0.0752352091293094,0.0797076602315192
"Mesopelagic_ssp126",0.267966375860138,0.279644262603496,0.270358071270412,1,0.62606518826418,0.581394460147719,0.161914802104051,0.161538192784576,0.167513833434255,0.100639309777639,0.102581159287426,0.105987287726281
"Mesopelagic_ssp245",0.253904339857967,0.305160148991499,0.285319856859942,0.62606518826418,1,0.716007608924921,0.167010537795783,0.176772990318785,0.18130003363301,0.114070843400329,0.109931431224976,0.111545450270188
"Mesopelagic_ssp585",0.244389914599327,0.282653357459385,0.295479565220743,0.581394460147719,0.716007608924921,1,0.171433964010578,0.182964123444398,0.195814431987908,0.121573729309328,0.116695295858727,0.127311042084973
"BathyAbyssopelagic_ssp126",0.102602946935339,0.116774450086737,0.134596541869958,0.161914802104051,0.167010537795783,0.171433964010578,1,0.693535356061441,0.655483325503093,0.166397766818102,0.169866095118833,0.179084462709621
"BathyAbyssopelagic_ssp245",0.104262884008619,0.111527487883615,0.136464737148685,0.161538192784576,0.176772990318785,0.182964123444398,0.693535356061441,1,0.730843188578438,0.186063883975787,0.18702196841965,0.198079071695055
"BathyAbyssopelagic_ssp585",0.100869768021821,0.119496454135154,0.138769726593401,0.167513833434255,0.18130003363301,0.195814431987908,0.655483325503093,0.730843188578438,1,0.201933119937734,0.201788164229435,0.210033040959858
"Seafloor_ssp126",0.071594358896672,0.079214349073369,0.0786549998231553,0.100639309777639,0.114070843400329,0.121573729309328,0.166397766818102,0.186063883975787,0.201933119937734,1,0.797782801079216,0.784661206043861
"Seafloor_ssp245",0.0735851954998976,0.0732018250970672,0.0752352091293094,0.102581159287426,0.109931431224976,0.116695295858727,0.169866095118833,0.18702196841965,0.201788164229435,0.797782801079216,1,0.804148789561785
"Seafloor_ssp585",0.0735582782828773,0.0756678206880414,0.0797076602315192,0.105987287726281,0.111545450270188,0.127311042084973,0.179084462709621,0.198079071695055,0.210033040959858,0.784661206043861,0.804148789561785,1
