"","Epipelagic_ssp126","Epipelagic_ssp245","Epipelagic_ssp585","Mesopelagic_ssp126","Mesopelagic_ssp245","Mesopelagic_ssp585","BathyAbyssopelagic_ssp126","BathyAbyssopelagic_ssp245","BathyAbyssopelagic_ssp585","Seafloor_ssp126","Seafloor_ssp245","Seafloor_ssp585"
"Epipelagic_ssp126",1,0.423334620545167,0.395592411301595,0.296579928048736,0.294298813890883,0.281426365135801,0.142844972058326,0.144407094811319,0.143902186172352,0.119404563932073,0.119705777099277,0.122409116894461
"Epipelagic_ssp245",0.423334620545167,1,0.628268248723937,0.312877409154612,0.341149385438427,0.325728633092371,0.149721147219592,0.145325633273135,0.149093612914162,0.124507106944454,0.120335568061265,0.122273401171281
"Epipelagic_ssp585",0.395592411301595,0.628268248723937,1,0.31063236504209,0.329322030660754,0.336403048810229,0.15442125934015,0.15903340573469,0.158023578662502,0.12041357457112,0.117316784856744,0.120673165981182
"Mesopelagic_ssp126",0.296579928048736,0.312877409154612,0.31063236504209,1,0.62029485408762,0.582935629529521,0.183520860577885,0.182373861374245,0.18856431768866,0.131843193953988,0.128814550274545,0.135644722837975
"Mesopelagic_ssp245",0.294298813890883,0.341149385438427,0.329322030660754,0.62029485408762,1,0.704005422547895,0.184363808338342,0.194239228790278,0.195923670822699,0.143100429649652,0.142564321822255,0.143881512977056
"Mesopelagic_ssp585",0.281426365135801,0.325728633092371,0.336403048810229,0.582935629529521,0.704005422547895,1,0.1915842667623,0.20320890596421,0.210236797577382,0.141164691381283,0.138978577791996,0.145464385771567
"BathyAbyssopelagic_ssp126",0.142844972058326,0.149721147219592,0.15442125934015,0.183520860577885,0.184363808338342,0.1915842667623,1,0.67990401338027,0.653076674289344,0.170290434045345,0.175958496724505,0.177820177935813
"BathyAbyssopelagic_ssp245",0.144407094811319,0.145325633273135,0.15903340573469,0.182373861374245,0.194239228790278,0.20320890596421,0.67990401338027,1,0.720437246140142,0.18528765443303,0.185521178720721,0.187962043320386
"BathyAbyssopelagic_ssp585",0.143902186172352,0.149093612914162,0.158023578662502,0.18856431768866,0.195923670822699,0.210236797577382,0.653076674289344,0.720437246140142,1,0.193436469148066,0.197523588236859,0.197176776678465
"Seafloor_ssp126",0.119404563932073,0.124507106944454,0.12041357457112,0.131843193953988,0.143100429649652,0.141164691381283,0.170290434045345,0.18528765443303,0.193436469148066,1,0.786360898532471,0.774702682976064
"Seafloor_ssp245",0.119705777099277,0.120335568061265,0.117316784856744,0.128814550274545,0.142564321822255,0.138978577791996,0.175958496724505,0.185521178720721,0.197523588236859,0.786360898532471,1,0.79709003308082
"Seafloor_ssp585",0.122409116894461,0.122273401171281,0.120673165981182,0.135644722837975,0.143881512977056,0.145464385771567,0.177820177935813,0.187962043320386,0.197176776678465,0.774702682976064,0.79709003308082,1
