layer,province
263,NPSW_Longhurst
264,NPSW_Longhurst
265,WARM_Longhurst
266,WARM_Longhurst
267,WARM_Longhurst
268,WARM_Longhurst
269,PEQD_Longhurst
270,PEQD_Longhurst
271,WARM_Longhurst
272,WARM_Longhurst
273,WARM_Longhurst
274,WARM_Longhurst
275,WARM_Longhurst
276,WARM_Longhurst
277,WARM_Longhurst
278,NPSW_Longhurst
279,NPSW_Longhurst
280,NPSW_Longhurst
281,NPSW_Longhurst
282,NPSW_Longhurst
283,NPSW_Longhurst
284,NPSW_Longhurst
285,NPSW_Longhurst
286,NPSW_Longhurst
287,WARM_Longhurst
288,WARM_Longhurst
289,WARM_Longhurst
290,WARM_Longhurst
291,PEQD_Longhurst
292,WARM_Longhurst
293,WARM_Longhurst
294,WARM_Longhurst
295,WARM_Longhurst
296,WARM_Longhurst
297,WARM_Longhurst
298,WARM_Longhurst
299,NPSW_Longhurst
300,NPSW_Longhurst
301,NPSW_Longhurst
302,NPSW_Longhurst
303,NPSW_Longhurst
304,NPSW_Longhurst
305,NPSW_Longhurst
306,NPSW_Longhurst
307,NPSW_Longhurst
308,NPSW_Longhurst
309,WARM_Longhurst
310,WARM_Longhurst
311,WARM_Longhurst
312,SPSG_Longhurst
313,PEQD_Longhurst
314,PEQD_Longhurst
315,WARM_Longhurst
316,WARM_Longhurst
317,WARM_Longhurst
318,WARM_Longhurst
319,WARM_Longhurst
320,WARM_Longhurst
321,WARM_Longhurst
322,NPSW_Longhurst
323,NPSW_Longhurst
324,NPSW_Longhurst
325,NPSW_Longhurst
326,NPSW_Longhurst
327,NPSW_Longhurst
328,NPSW_Longhurst
329,NPSW_Longhurst
330,NPSW_Longhurst
331,NPSW_Longhurst
332,WARM_Longhurst
333,WARM_Longhurst
334,PEQD_Longhurst
335,PEQD_Longhurst
336,PNEC_Longhurst
337,PNEC_Longhurst
338,PNEC_Longhurst
339,WARM_Longhurst
340,WARM_Longhurst
341,WARM_Longhurst
342,WARM_Longhurst
343,NPSW_Longhurst
344,NPSW_Longhurst
345,NPSW_Longhurst
346,NPSW_Longhurst
347,NPSW_Longhurst
348,NPSW_Longhurst
349,NPSW_Longhurst
350,NPSW_Longhurst
351,NPSW_Longhurst
352,NPSW_Longhurst
353,NPSW_Longhurst
354,WARM_Longhurst
355,SPSG_Longhurst
356,PEQD_Longhurst
357,PEQD_Longhurst
358,PEQD_Longhurst
359,PNEC_Longhurst
360,PNEC_Longhurst
361,PNEC_Longhurst
362,PNEC_Longhurst
363,WARM_Longhurst
364,WARM_Longhurst
365,WARM_Longhurst
366,NPSW_Longhurst
367,NPSW_Longhurst
368,NPSW_Longhurst
369,NPSW_Longhurst
370,NPSW_Longhurst
371,NPSW_Longhurst
372,NPSW_Longhurst
373,NPSW_Longhurst
374,NPSW_Longhurst
375,NPSW_Longhurst
376,NPSW_Longhurst
377,SPSG_Longhurst
