layer,province
270515,12_GOODS
270516,12_GOODS
270517,12_GOODS
270518,12_GOODS
270519,12_GOODS
270520,12_GOODS
270521,12_GOODS
270522,12_GOODS
270523,12_GOODS
270524,12_GOODS
270525,12_GOODS
270526,12_GOODS
270527,10_GOODS
270528,10_GOODS
270529,11_GOODS
270530,12_GOODS
270531,12_GOODS
270532,12_GOODS
270533,12_GOODS
270534,12_GOODS
270535,12_GOODS
270536,12_GOODS
270537,12_GOODS
270538,12_GOODS
270539,12_GOODS
270540,12_GOODS
270541,12_GOODS
270542,12_GOODS
270543,12_GOODS
270544,12_GOODS
270545,12_GOODS
270546,12_GOODS
270547,12_GOODS
270548,12_GOODS
270549,10_GOODS
270550,10_GOODS
270551,11_GOODS
270552,11_GOODS
270553,12_GOODS
270554,12_GOODS
270555,12_GOODS
270556,12_GOODS
270557,12_GOODS
270558,12_GOODS
270559,12_GOODS
270560,12_GOODS
270561,12_GOODS
270562,12_GOODS
270563,12_GOODS
270564,12_GOODS
270565,12_GOODS
270566,12_GOODS
270567,12_GOODS
270568,12_GOODS
270569,12_GOODS
270570,12_GOODS
270571,12_GOODS
270572,10_GOODS
270573,11_GOODS
270574,11_GOODS
270575,12_GOODS
270576,12_GOODS
270577,12_GOODS
270578,12_GOODS
270579,12_GOODS
270580,12_GOODS
270581,12_GOODS
270582,12_GOODS
270583,12_GOODS
270584,12_GOODS
270585,12_GOODS
270586,12_GOODS
270587,12_GOODS
270588,12_GOODS
270589,12_GOODS
270590,12_GOODS
270591,12_GOODS
270592,12_GOODS
270593,12_GOODS
270594,12_GOODS
270595,10_GOODS
270596,11_GOODS
270597,11_GOODS
270598,11_GOODS
270599,11_GOODS
270600,12_GOODS
270601,12_GOODS
270602,12_GOODS
270603,12_GOODS
270604,12_GOODS
270605,12_GOODS
270606,12_GOODS
270607,12_GOODS
270608,12_GOODS
270609,12_GOODS
270610,12_GOODS
270611,12_GOODS
270612,12_GOODS
270613,12_GOODS
270614,12_GOODS
270615,12_GOODS
270616,12_GOODS
270617,12_GOODS
270618,12_GOODS
270619,12_GOODS
270620,11_GOODS
270621,11_GOODS
270622,11_GOODS
270623,11_GOODS
270624,11_GOODS
270625,12_GOODS
270626,12_GOODS
270627,12_GOODS
270628,12_GOODS
270629,12_GOODS
270630,12_GOODS
270631,12_GOODS
270632,12_GOODS
270633,12_GOODS
270634,12_GOODS
270635,12_GOODS
270636,12_GOODS
270637,12_GOODS
270638,12_GOODS
270639,12_GOODS
270640,12_GOODS
270641,12_GOODS
270642,12_GOODS
270643,12_GOODS
270644,12_GOODS
270645,11_GOODS
270646,11_GOODS
270647,11_GOODS
270648,11_GOODS
270649,11_GOODS
270650,12_GOODS
270651,12_GOODS
270652,12_GOODS
270653,12_GOODS
270654,12_GOODS
270655,12_GOODS
270656,12_GOODS
270657,12_GOODS
270658,12_GOODS
270659,12_GOODS
270660,12_GOODS
270661,12_GOODS
270662,12_GOODS
270663,12_GOODS
270664,12_GOODS
270665,12_GOODS
270666,12_GOODS
270667,12_GOODS
270668,12_GOODS
270669,12_GOODS
270670,12_GOODS
270671,11_GOODS
270672,11_GOODS
270673,11_GOODS
270674,11_GOODS
270675,11_GOODS
270676,11_GOODS
270677,12_GOODS
270678,12_GOODS
270679,12_GOODS
270680,12_GOODS
270681,12_GOODS
